DEPTH,CALI,DT,NPHI,PHIE,RHOB,SW,litho,VCLC,VDOL,VOL_SHALE,VSAN .V/V
2580.7416,5.7001,52.4181,0.0803,0.0622,2.9844,1.0,0,0.0,0.0334,0.0,0.425
2580.894,5.7442,51.0048,0.0365,0.0388,2.9814,1.0,0,0.0,0.0013,0.0,0.425
2581.0464,5.6378,52.3359,0.0164,0.0281,2.977,1.0,0,0.0,0.0,0.0,0.425
2581.1988,5.5114,53.6957,0.0149,0.0281,2.9693,1.0,0,0.0,0.0,0.0,0.425
2581.3512,5.6852,54.0347,0.0133,0.0274,2.9616,0.961,0,0.0,0.0,0.0,0.425
2581.5036,5.7744,54.2085,0.0118,0.0286,2.9542,0.695,0,0.0,0.0,0.0,0.425
2581.656,5.776,54.478,0.0103,0.0285,2.9565,0.6766,0,0.0,0.0,0.0,0.425
2581.8084,5.8593,54.4835,0.0111,0.0283,2.9589,0.6702,0,0.0,0.0,0.0,0.425
2581.9608,5.8619,54.3282,0.0126,0.0279,2.9613,0.6685,0,0.0,0.0,0.0,0.425
2582.1132,5.7924,53.6412,0.0142,0.0268,2.9615,0.6751,0,0.0,0.0,0.0,0.425
2582.2656,5.8374,53.3324,0.0157,0.0268,2.961,0.6533,0,0.0,0.0,0.0,0.425
2582.418,5.7687,53.9002,0.0172,0.0288,2.9605,0.5894,0,0.0,0.0,0.0,0.425
2582.5704,5.9025,53.7586,0.0179,0.0291,2.9589,0.5665,0,0.0,0.0,0.0,0.425
2582.7228,5.8718,53.8099,0.0179,0.0298,2.9562,0.5416,0,0.0,0.0,0.0,0.425
2582.8752,5.9022,53.879,0.0179,0.0306,2.9535,0.5176,0,0.0,0.0,0.0,0.425
2583.0276,5.8342,54.3936,0.0179,0.0322,2.9518,0.4821,0,0.0,0.0,0.0,0.425
2583.18,5.8646,54.2588,0.0179,0.0315,2.9547,0.4799,0,0.0,0.0,0.0,0.425
2583.3324,5.8798,53.939,0.0179,0.0302,2.9575,0.4857,0,0.0,0.0,0.0,0.425
2583.4848,5.8804,53.6778,0.018,0.0291,2.9604,0.489,0,0.0,0.0,0.0,0.425
2583.6372,5.9473,53.732,0.02,0.0314,2.9523,0.5271,0,0.0,0.0,0.0,0.425
2583.7896,5.9452,54.1063,0.022,0.0349,2.943,0.541,0,0.0,0.0,0.0,0.425
2583.942,5.893,54.3292,0.0241,0.0377,2.9337,0.5544,0,0.0,0.001,0.0,0.425
2584.0944,6.0111,54.0963,0.029,0.0438,2.8961,0.6344,0,0.0,0.1185,0.0,0.425
2584.2468,5.999,53.8564,0.0503,0.0553,2.8412,0.6369,0,0.0002,0.3937,0.0002,0.425
2584.3992,6.1186,53.6168,0.0716,0.0618,2.7862,0.6455,1,0.0091,0.6848,0.0096,0.425
2584.5516,6.1695,53.3766,0.0897,0.03,2.751,0.9835,1,0.1224,0.712,0.1068,0.425
2584.704,6.1696,53.1367,0.1049,0.0271,2.7547,1.0,1,0.0063,0.799,0.1429,0.425
2584.8564,6.1855,52.8968,0.1201,0.0292,2.7584,1.0,1,0.0,0.7912,0.1532,0.425
2585.0088,6.2181,52.6569,0.1119,0.0354,2.7651,1.0,1,0.0,0.8158,0.1261,0.425
2585.1612,6.2171,52.417,0.1021,0.0443,2.8228,0.9992,1,0.0,0.8402,0.0542,0.425
2585.3136,6.1745,52.1771,0.0924,0.0496,2.8805,0.8541,1,0.0,0.6183,0.0076,0.425
2585.466,5.9513,52.0096,0.0826,0.0427,2.9381,0.5863,0,0.0,0.4005,0.0003,0.425
2585.6184,6.0123,54.4248,0.0729,0.0498,2.9409,0.3429,0,0.0,0.1587,0.0,0.425
2585.7708,6.0085,56.1577,0.0631,0.0562,2.9279,0.2753,0,0.0,0.014,0.0,0.425
2585.9232,5.9383,57.3606,0.0523,0.0582,2.9149,0.2379,0,0.0,0.0003,0.0,0.425
2586.0756,5.9524,57.6984,0.0401,0.0548,2.9147,0.2335,0,0.0,0.0,0.0,0.425
2586.228,5.9501,57.414,0.0279,0.0473,2.9274,0.2649,0,0.0,0.0,0.0,0.425
2586.3804,5.9484,54.4814,0.0241,0.0367,2.94,0.3325,0,0.0,0.0,0.0,0.425
2586.5328,5.9447,54.5236,0.0221,0.0341,2.9492,0.3511,0,0.0,0.0,0.0,0.425
2586.6852,5.8742,54.6968,0.0201,0.0346,2.9456,0.3444,0,0.0,0.0,0.0,0.425
2586.8376,5.8706,55.2336,0.018,0.036,2.9419,0.3296,0,0.0,0.0,0.0,0.425
2586.99,5.9039,55.7409,0.0207,0.0389,2.9382,0.3046,0,0.0,0.0,0.0,0.425
2587.1424,5.9198,55.0314,0.0237,0.0378,2.9413,0.3123,0,0.0,0.0,0.0,0.425
2587.2948,5.8832,54.3486,0.0268,0.0366,2.9448,0.3217,0,0.0,0.0,0.0,0.425
2587.4472,5.8994,54.3411,0.0298,0.037,2.9483,0.3184,0,0.0,0.0,0.0,0.425
2587.5996,5.9501,54.5567,0.0329,0.0384,2.9493,0.3086,0,0.0,0.0,0.0,0.425
2587.752,5.9221,54.4505,0.0294,0.037,2.949,0.3208,0,0.0,0.0,0.0,0.425
2587.9044,5.6289,54.2537,0.0233,0.0345,2.9488,0.3439,0,0.0,0.0,0.0,0.425
2588.0568,5.6027,54.6183,0.0182,0.0338,2.9483,0.3538,0,0.0,0.0,0.0,0.425
2588.2092,5.6615,54.6822,0.0212,0.0351,2.9476,0.3465,0,0.0,0.0,0.0,0.425
2588.3616,5.4225,54.689,0.0243,0.0363,2.9469,0.3408,0,0.0,0.0,0.0,0.425
2588.514,5.6543,54.8142,0.0273,0.0382,2.9442,0.4199,0,0.0,0.0,0.0,0.425
2588.6664,5.4413,55.5259,0.0304,0.0448,2.9229,0.6728,0,0.0,0.0,0.0,0.425
2588.8188,5.5541,58.7004,0.0334,0.0572,2.9016,0.6926,0,0.0,0.0,0.0,0.425
2588.9712,5.4686,59.8891,0.0328,0.0635,2.8803,0.7323,0,0.0,0.0,0.0,0.425
2589.1236,5.5524,60.3179,0.0318,0.0667,2.8629,0.743,0,0.0,0.0,0.0006,0.425
2589.276,5.7078,64.1856,0.0308,0.0611,2.8463,0.749,0,0.0,0.0,0.0445,0.425
2589.4284,5.6917,64.2865,0.0298,0.0529,2.8298,0.8272,0,0.0,0.0,0.073,0.425
2589.5808,5.6714,64.7035,0.0288,0.0659,2.8278,0.7122,0,0.0,0.0,0.043,0.425
2589.7332,5.6634,63.7029,0.0278,0.0782,2.8387,0.6184,0,0.0,0.0,0.0017,0.425
2589.8856,5.4635,61.3824,0.0267,0.0718,2.8497,0.6008,0,0.0,0.0,0.0,0.425
2590.038,5.6978,61.7544,0.026,0.072,2.854,0.5371,0,0.0,0.0,0.0,0.425
2590.1904,5.6086,64.1285,0.0285,0.0815,2.8384,0.4752,0,0.0,0.0,0.0,0.425
2590.3428,5.4829,63.4275,0.0309,0.0838,2.8227,0.4606,0,0.0,0.0,0.0,0.425
2590.4952,5.4499,65.5916,0.0333,0.0926,2.8071,0.4176,0,0.0,0.0,0.0,0.425
2590.6476,5.7151,67.3936,0.0358,0.0934,2.8282,0.3801,0,0.0,0.0,0.0,0.425
2590.8,5.5657,67.3179,0.0382,0.0896,2.8505,0.3532,0,0.0,0.0,0.0,0.425
2590.9524,5.7346,67.1758,0.0407,0.0858,2.8727,0.3152,0,0.0,0.0,0.0,0.425
2591.1048,5.627,67.0337,0.0522,0.0862,2.8907,0.2804,0,0.0,0.0,0.0,0.425
2591.2572,5.242,66.8916,0.0688,0.0884,2.9067,0.2497,0,0.0,0.0,0.0,0.425
2591.4096,5.339,66.7495,0.081,0.0897,2.9227,0.2211,0,0.0,0.0,0.0,0.425
2591.562,5.4091,66.6074,0.0932,0.0994,2.8949,0.2603,0,0.0,0.0,0.0,0.425
2591.7144,5.3816,66.4653,0.0862,0.1136,2.8031,0.3251,0,0.0,0.0,0.0,0.425
2591.8668,5.7033,66.3232,0.0918,0.1196,2.7113,0.3554,0,0.1148,0.0,0.0181,0.425
2592.0192,5.7468,66.1813,0.1095,0.1073,2.6288,0.3912,2,0.4171,0.0,0.0616,0.425
2592.1716,5.7628,66.1823,0.1237,0.1132,2.6105,0.3728,2,0.4144,0.0916,0.0662,0.425
2592.324,5.7613,70.5984,0.1555,0.1518,2.5922,0.2943,2,0.201,0.1618,0.0586,0.425
2592.4764,5.7587,70.6006,0.1715,0.1742,2.5739,0.2808,2,0.0882,0.3646,0.0322,0.425
2592.6288,5.7222,69.9562,0.1766,0.1793,2.5781,0.2823,1,0.0044,0.501,0.0227,0.425
2592.7812,5.7189,69.058,0.1766,0.1798,2.5864,0.2919,1,0.0,0.5358,0.0115,0.425
2592.9336,5.7348,69.574,0.1766,0.1791,2.5947,0.2924,2,0.0,0.4799,0.0147,0.425
2593.086,5.7511,67.5925,0.1755,0.168,2.6008,0.3078,1,0.0,0.6167,0.0195,0.425
2593.2384,5.7668,65.4879,0.1735,0.1604,2.6051,0.3256,1,0.0,0.7519,0.015,0.425
2593.3908,5.729,64.6405,0.1714,0.1563,2.6095,0.335,1,0.0,0.795,0.0141,0.425
2593.5432,5.6881,66.3118,0.1694,0.1588,2.6155,0.3235,1,0.0,0.6503,0.0198,0.425
2593.6956,5.4827,66.2019,0.1674,0.1541,2.6257,0.3211,1,0.0,0.6256,0.0255,0.425
